[2017/6/7 15:11:45]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:46]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:47]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:48]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:49]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:51]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:52]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:53]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:54]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:55]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:56]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:57]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:58]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:59]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
